isStatic|BOOLEAN||FALSE|Variable|
isGlobal|BOOLEAN||FALSE|Variable|
isEvaluated|BOOLEAN||FALSE|Step|
number|INTEGER||FALSE|Step|1-999
text|STRING||FALSE|Context;Variable|
typeName|STRING||FALSE|Variable|
lifeTimeTypeName|STRING||FALSE|Variable|
typeNameR|STRING||FALSE|Variable|
typeNameEn|STRING||FALSE|Variable|
lifeTimeTypeNameEn|STRING||FALSE|Variable|
textEn|STRING||FALSE|Context|
